0,0,0,0,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,3
0,0,0,0,18
0,0,0,0,33
7,0,0,0,48
e,0,0,0,86
1a,0,0,0,96
21,0,2,0,dc
39,0,3,0,107
3f,3,9,0,14e
57,a,1e,0,196
69,9,20,0,1c4
73,1e,41,0,21d
96,2d,5c,0,286
aa,43,77,0,2bf
c4,86,ca,0,32e
cf,8d,c3,0,354
ed,d4,107,0,3ba
f7,d8,127,0,3e7
137,158,198,0,468
139,177,1d1,0,4d0
14c,1c9,208,0,4fc
178,21e,264,1,568
20e,351,3b2,0,69d
2e7,48c,4dc,2,7dd
3bb,585,5bb,6,892
497,685,5c0,c,93c
573,75b,770,2e,9a2
628,80e,813,4e,9e1
6b4,863,87a,99,9ef
747,8e8,8f8,105,9ea
7df,930,932,14c,9da
84e,9af,9b1,207,994
8ca,a00,9fa,2b0,95d
8fb,a25,a0e,322,90c
967,a68,a59,39f,8b8
98f,a9d,a85,48a,844
9d8,aca,ac5,536,7f6
